iter	Passed	Remaining
400	18436	27539
401	18478	27488
402	18512	27423
403	18547	27361
404	18593	27316
405	18629	27256
406	18675	27210
407	18720	27162
408	18756	27103
409	18795	27047
410	18839	26999
411	18875	26938
412	18912	26880
413	18957	26834
414	18997	26779
415	19031	26717
416	19075	26668
417	19146	26658
418	19229	26664
419	19312	26669
420	19360	26627
421	19412	26588
422	19479	26571
423	19523	26523
424	19561	26466
425	19610	26423
426	19653	26372
427	19703	26332
428	19752	26290
429	19900	26379
430	19978	26375
431	20075	26395
432	20242	26506
433	20534	26780
434	20643	26812
435	20781	26882
436	20951	26992
437	21036	26992
438	21088	26949
439	21175	26950
440	21256	26944
441	21308	26900
442	21357	26853
443	21408	26808
444	21446	26747
445	21487	26690
446	21537	26644
447	21579	26589
448	21617	26528
449	21691	26511
450	21725	26446
451	21760	26381
452	21810	26336
453	21841	26267
454	21879	26206
455	21923	26154
456	21955	26087
457	21992	26025
458	22031	25967
459	22080	25920
460	22129	25873
461	22178	25827
462	22238	25793
463	22280	25738
464	22335	25697
465	22385	25652
466	22431	25601
467	22476	25550
468	22516	25492
469	22552	25431
470	22601	25385
471	22638	25324
472	22702	25294
473	22775	25274
474	22833	25236
475	22875	25182
476	22925	25136
477	22961	25074
478	22997	25014
479	23042	24962
480	23078	24901
481	23117	24844
482	23161	24791
483	23196	24730
484	23238	24676
485	23280	24621
486	23316	24561
487	23349	24497
488	23391	24443
489	23434	24390
490	23470	24330
491	23513	24278
492	23547	24215
493	23584	24157
494	23637	24114
495	23673	24055
496	23709	23995
497	23758	23949
498	23793	23888
499	23835	23835
500	23875	23780
501	23918	23728
502	23955	23669
503	23997	23616
504	24036	23560
505	24073	23502
506	24135	23469
507	24169	23408
508	24203	23347
509	24251	23300
510	24285	23239
511	24324	23184
512	24369	23133
513	24407	23077
514	24449	23024
515	24493	22974
516	24533	22920
517	24569	22861
518	24612	22810
519	24652	22755
520	24690	22700
521	24729	22644
522	24770	22591
523	24808	22536
524	24849	22483
525	24893	22432
526	24933	22378
527	24971	22322
528	25014	22271
529	25063	22226
530	25113	22180
531	25179	22150
532	25226	22103
533	25278	22059
534	25329	22014
535	25384	21974
536	25427	21923
537	25478	21879
538	25518	21825
539	25560	21774
540	25607	21725
541	25648	21673
542	25687	21619
543	25732	21570
544	25771	21515
545	25804	21456
546	25853	21410
547	25885	21351
548	25921	21294
549	25970	21248
550	26002	21189
551	26038	21132
552	26085	21085
553	26121	21029
554	26163	20977
555	26207	20927
556	26246	20874
557	26284	20820
558	26329	20771
559	26368	20718
560	26403	20661
561	26454	20617
562	26491	20562
563	26531	20509
564	26578	20462
565	26617	20409
566	26648	20350
567	26694	20303
568	26726	20244
569	26765	20191
570	26811	20143
571	26850	20090
572	26891	20039
573	26931	19987
574	26975	19938
575	27009	19881
576	27053	19832
577	27090	19778
578	27129	19725
579	27177	19680
580	27214	19626
581	27249	19570
582	27296	19524
583	27337	19472
584	27378	19422
585	27422	19373
586	27462	19322
587	27498	19267
588	27544	19220
589	27582	19167
590	27620	19114
591	27662	19064
592	27704	19014
593	27742	18962
594	27789	18915
595	27824	18860
596	27860	18807
597	27905	18759
598	27940	18704
599	27983	18655
600	28035	18612
601	28085	18567
602	28129	18519
603	28194	18485
604	28242	18439
605	28320	18413
606	28374	18370
607	28423	18325
608	28462	18273
609	28508	18226
610	28544	18173
611	28582	18120
612	28634	18077
613	28679	18029
614	28722	17980
615	28768	17933
616	28810	17884
617	28849	17832
618	28904	17791
619	28935	17734
620	28964	17676
621	29001	17624
622	29041	17574
623	29078	17521
624	29119	17471
625	29163	17423
626	29204	17373
627	29237	17319
628	29283	17272
629	29323	17221
630	29357	17167
631	29406	17122
632	29446	17072
633	29482	17020
634	29530	16974
635	29567	16922
636	29605	16870
637	29650	16823
638	29686	16771
639	29884	16810
640	29973	16786
641	30014	16736
642	30053	16685
643	30098	16638
644	30136	16586
645	30170	16533
646	30218	16487
647	30254	16434
648	30293	16383
649	30340	16337
650	30378	16286
651	30423	16238
652	30467	16190
653	30503	16137
654	30543	16087
655	30588	16040
656	30626	15989
657	30665	15938
658	30710	15891
659	30750	15841
660	30788	15789
661	30836	15744
662	30875	15693
663	30910	15641
664	30959	15596
665	31003	15548
666	31062	15507
667	31118	15466
668	31171	15422
669	31217	15375
670	31277	15335
671	31320	15287
672	31372	15243
673	31420	15197
674	31460	15147
675	31499	15097
676	31546	15050
677	31587	15001
678	31623	14949
679	31671	14904
680	31709	14853
681	31748	14803
682	31791	14755
683	31823	14701
684	31860	14651
685	31902	14602
686	31935	14549
687	31972	14499
688	32017	14451
689	32057	14402
690	32093	14351
691	32136	14303
692	32170	14251
693	32205	14200
694	32250	14153
695	32291	14104
696	32328	14053
697	32375	14007
698	32412	13957
699	32450	13907
700	32496	13860
701	32532	13810
702	32568	13759
703	32616	13713
704	32652	13663
705	32689	13612
706	32753	13573
707	32816	13534
708	32892	13500
709	32977	13469
710	33020	13422
711	33070	13376
712	33118	13330
713	33155	13280
714	33197	13232
715	33242	13185
716	33281	13136
717	33320	13087
718	33363	13039
719	33408	12992
720	33448	12943
721	33500	12899
722	33537	12849
723	33576	12799
724	33624	12754
725	33660	12703
726	33702	12655
727	33753	12611
728	33797	12563
729	33833	12513
730	33877	12466
731	33917	12417
732	33952	12367
733	34012	12325
734	34059	12280
735	34112	12236
736	34178	12196
737	34224	12150
738	34280	12107
739	34334	12063
740	34389	12020
741	34429	11971
742	34475	11925
743	34520	11878
744	34559	11829
745	34608	11783
746	34645	11733
747	34681	11684
748	34730	11638
749	34766	11588
750	34807	11540
751	34851	11493
752	34889	11444
753	34929	11396
754	34976	11350
755	35014	11301
756	35053	11252
757	35100	11206
758	35138	11157
759	35175	11107
760	35222	11061
761	35258	11012
762	35296	10963
763	35348	10919
764	35387	10870
765	35427	10822
766	35473	10776
767	35512	10727
768	35553	10679
769	35599	10633
770	35640	10585
771	35679	10537
772	35729	10492
773	35765	10443
774	35801	10393
775	35849	10348
776	35885	10299
777	35925	10251
778	35970	10204
779	36007	10156
780	36049	10108
781	36098	10063
782	36138	10015
783	36173	9966
784	36220	9920
785	36258	9871
786	36299	9824
787	36344	9778
788	36383	9729
789	36419	9681
790	36469	9636
791	36508	9588
792	36553	9541
793	36599	9495
794	36642	9448
795	36683	9401
796	36729	9355
797	36771	9308
798	36809	9259
799	36857	9214
800	36895	9166
801	36931	9117
802	36989	9074
803	37040	9029
804	37092	8985
805	37156	8943
806	37205	8898
807	37262	8854
808	37325	8812
809	37365	8764
810	37408	8717
811	37454	8671
812	37491	8623
813	37529	8575
814	37572	8528
815	37609	8480
816	37650	8433
817	37693	8386
818	37730	8338
819	37769	8290
820	37812	8244
821	37856	8197
822	37892	8149
823	37942	8104
824	37975	8055
825	38007	8006
826	38060	7961
827	38104	7915
828	38143	7867
829	38188	7821
830	38222	7773
831	38262	7726
832	38307	7679
833	38354	7634
834	38396	7587
835	38455	7543
836	38492	7496
837	38533	7449
838	38582	7403
839	38622	7356
840	38661	7309
841	38707	7263
842	38746	7216
843	38787	7169
844	38831	7122
845	38872	7076
846	38906	7028
847	38955	6982
848	38988	6934
849	39030	6887
850	39076	6841
851	39108	6793
852	39150	6746
853	39200	6701
854	39239	6654
855	39285	6608
856	39331	6562
857	39372	6516
858	39410	6469
859	39453	6422
860	39496	6376
861	39536	6329
862	39586	6284
863	39622	6236
864	39662	6190
865	39711	6144
866	39749	6097
867	39794	6051
868	39844	6006
869	39883	5959
870	39926	5913
871	39994	5870
872	40043	5825
873	40097	5780
874	40156	5736
875	40215	5692
876	40262	5646
877	40320	5602
878	40361	5556
879	40401	5509
880	40447	5463
881	40490	5417
882	40529	5370
883	40580	5325
884	40616	5277
885	40655	5231
886	40708	5186
887	40744	5139
888	40783	5092
889	40831	5046
890	40872	5000
891	40914	4953
892	40959	4907
893	41004	4861
894	41043	4815
895	41093	4769
896	41132	4723
897	41170	4676
898	41216	4630
899	41255	4583
900	41295	4537
901	41343	4491
902	41381	4445
903	41422	4398
904	41466	4352
905	41508	4306
906	41558	4261
907	41615	4216
908	41656	4170
909	41692	4123
910	41740	4077
911	41780	4031
912	41820	3985
913	41865	3939
914	41898	3892
915	41939	3846
916	41986	3800
917	42027	3754
918	42066	3707
919	42111	3661
920	42149	3615
921	42187	3568
922	42237	3523
923	42282	3477
924	42336	3432
925	42384	3387
926	42428	3341
927	42464	3294
928	42520	3249
929	42563	3203
930	42601	3157
931	42651	3111
932	42686	3065
933	42728	3019
934	42773	2973
935	42818	2927
936	42857	2881
937	42968	2840
938	43131	2801
939	43186	2756
940	43244	2711
941	43296	2665
942	43344	2619
943	43394	2574
944	43438	2528
945	43482	2482
946	43532	2436
947	43571	2389
948	43620	2344
949	43664	2298
