iter	Logloss
0	0.6474056655
1	0.6115316555
2	0.5833673885
3	0.560906231
4	0.5431249949
5	0.5292931246
6	0.5182195958
7	0.5092153737
8	0.5019644855
9	0.4955554312
10	0.4912900696
11	0.4873160652
12	0.4842035635
13	0.48142966
14	0.478737059
15	0.4765799007
16	0.4748576486
17	0.4730783797
18	0.4716586951
19	0.4705114522
20	0.469524776
21	0.4680620185
22	0.4673599007
23	0.4661675859
24	0.4659760855
25	0.4653550006
26	0.4644783401
27	0.4636710101
28	0.4628531778
29	0.4622853698
30	0.4615138097
31	0.4609022827
32	0.4598175353
33	0.4593612848
34	0.4586151057
35	0.4579001928
36	0.4574155392
37	0.4570172723
38	0.4568565252
39	0.4559388357
40	0.4553570084
41	0.4547505222
42	0.4543645983
43	0.4538133043
44	0.4534714437
45	0.4531394154
46	0.4526390984
47	0.4522705745
48	0.4519872454
49	0.4517224946
50	0.4511164778
51	0.4507598965
52	0.4501725127
53	0.4497822977
54	0.4496439181
55	0.4493350965
56	0.4489554032
57	0.4488128993
58	0.4480549217
59	0.4478189096
60	0.4473903652
61	0.4471182166
62	0.4463837841
63	0.4460230145
64	0.4455934269
65	0.44503255
66	0.4447819976
67	0.4445663114
